Sequence, time(s), pose_x(m), pose_y(m)
121, 12.200000000, 11.108, -48.944
133, 13.400000000, 11.1472, -48.975
134, 13.500000000, 11.1908, -48.9995
135, 13.600000000, 11.2377, -49.0169
136, 13.700000000, 11.2867, -49.0267
137, 13.800000000, 11.3367, -49.0288
138, 13.900000000, 11.3863, -49.023
139, 14.000000000, 11.4345, -49.0095
140, 14.100000000, 11.4799, -48.9886
141, 14.200000000, 11.5216, -48.961
142, 14.300000000, 11.5593, -48.9281
143, 14.400000000, 11.5928, -48.891
144, 14.500000000, 11.6223, -48.8506
145, 14.600000000, 11.6481, -48.8078
146, 14.700000000, 11.6705, -48.7631
147, 14.800000000, 11.6899, -48.717
148, 14.900000000, 11.7065, -48.6699
149, 15.000000000, 11.7208, -48.622
150, 15.100000000, 11.7328, -48.5734
151, 15.200000000, 11.743, -48.5245
152, 15.300000000, 11.7516, -48.4752
153, 15.400000000, 11.7587, -48.4257
154, 15.500000000, 11.7646, -48.3761
155, 15.600000000, 11.7693, -48.3263
156, 15.700000000, 11.7732, -48.2764
157, 15.800000000, 11.7761, -48.2265
158, 15.900000000, 11.7784, -48.1766
159, 16.000000000, 11.78, -48.1266
160, 16.100000000, 11.7811, -48.0766
161, 16.200000000, 11.7817, -48.0266
162, 16.300000000, 11.7819, -47.9766
163, 16.400000000, 11.7818, -47.9266
164, 16.500000000, 11.7813, -47.8766
165, 16.600000000, 11.7805, -47.8266
166, 16.700000000, 11.7795, -47.7766
167, 16.800000000, 11.7783, -47.7267
168, 16.900000000, 11.777, -47.6767
169, 17.000000000, 11.7754, -47.6267
170, 17.100000000, 11.7738, -47.5767
171, 17.200000000, 11.772, -47.5268
172, 17.300000000, 11.7701, -47.4768
173, 17.400000000, 11.7681, -47.4268
174, 17.500000000, 11.7661, -47.3769
175, 17.600000000, 11.7639, -47.3269
176, 17.700000000, 11.7618, -47.277
177, 17.800000000, 11.7595, -47.227
178, 17.900000000, 11.7573, -47.1771
179, 18.000000000, 11.7549, -47.1271
180, 18.100000000, 11.7526, -47.0772
181, 18.200000000, 11.7502, -47.0272
182, 18.300000000, 11.7478, -46.9773
183, 18.400000000, 11.7454, -46.9274
184, 18.500000000, 11.743, -46.8774
185, 18.600000000, 11.7405, -46.8275
186, 18.700000000, 11.738, -46.7775
187, 18.800000000, 11.7355, -46.7276
188, 18.900000000, 11.733, -46.6777
189, 19.000000000, 11.7305, -46.6277
190, 19.100000000, 11.728, -46.5778
191, 19.200000000, 11.7255, -46.5279
192, 19.300000000, 11.723, -46.4779
193, 19.400000000, 11.7204, -46.428
194, 19.500000000, 11.7179, -46.378
195, 19.600000000, 11.7153, -46.3281
196, 19.700000000, 11.7128, -46.2782
197, 19.800000000, 11.7103, -46.2282
198, 19.900000000, 11.7077, -46.1783
199, 20.000000000, 11.7051, -46.1284
200, 20.100000000, 11.7026, -46.0784
201, 20.200000000, 11.7, -46.0285
202, 20.300000000, 11.6975, -45.9786
